fiscal_year,bid_number,document_type,record_date,record_number,title,normalized_vendor,category,subcategory,evidence_basis,substantive_source_url,procurement_status,award_status,contract_status,amendment_status,po_status,invoice_status,payment_status,approved_amount,contract_ceiling,verified_actual_payments,parent_contract_number,source_url,notes
"FY2025-26",,"Agreement/Contract","2025-12-29","2025/2026-0063","ADOPT-A-MILE/SPOT PROGRAM LITTER REMOVAL AGREEMENT - MIDDLEBURG HIGH SCHOOL NJROTC",,"Community/Nonprofit Agreements",,"CLERK INDEX METADATA ONLY",,"N/A","N/A","FOUND","N/A","N/A","N/A","N/A",,,,,"https://dmcc.clayclerk.com/Documents/Download/16760","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Agreement/Contract","2026-01-01","2025/2026-0125","AGREEMENT FOR CONSULTING SERVICES - SIMPLE GRANTS - GRANT RESEARCH - WRITING - MANAGEMENT","MANAGEMENT","Grants/Interlocal Agreements",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","N/A","MISSING","MISSING","MISSING",,,,,"https://dmcc.clayclerk.com/Documents/Download/18587","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Renewals/Extensions/Amendments","2026-01-05","2021/2022-45 RN4","CLAY COUNTY AGREEMENT/CONTRACT #2021/2022-45 RN4 FOURTH RENEWAL AND THIRD AMENDMENT TO AGREEMENT FOR SERVICES- LOALITY MEDIA",,"Other",,"CLERK INDEX METADATA ONLY",,"N/A","N/A","NEEDS VERIFICATION","FOUND","N/A","N/A","N/A",,,,"2021/2022-45","https://dmcc.clayclerk.com/Documents/Download/16745","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Agreement/Contract","2026-01-05","2025/2026-0067","AGREEMENT FOR INSTRUCTOR SERVICES FOR FEMA TRAINING COURSES",,"Training/Education",,"CLERK INDEX METADATA ONLY",,"N/A","N/A","FOUND","N/A","N/A","N/A","N/A",,,,,"https://dmcc.clayclerk.com/Documents/Download/16746","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Agreement/Contract","2026-01-06","2025/2026-0068","AGREEMENT FOR AIR HANDLING UNIT AND DUCT CLEANING AND FLEX DUCT CONNECTOR INSTALLATION AT THE CLAY COUNTY COURTHOUSE - AQS Florida","AQS Florida","Construction/Repairs/Facilities",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","N/A","MISSING","MISSING","MISSING",,,,,"https://dmcc.clayclerk.com/Documents/Download/16748","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Agreement/Contract","2026-01-08","2025/2026-0071","AGREEMENT FOR 10-TON HEAT PUMP SYSTEM REPLACEMENT AT THE ORANGE PARK SENIOR CENTER - CARRIER","CARRIER","Construction/Repairs/Facilities",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","N/A","MISSING","MISSING","MISSING",,,,,"https://dmcc.clayclerk.com/Documents/Download/16749","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Renewals/Extensions/Amendments","2026-01-12","2024/2025-254 AM1","FIRST AMENDMENT TO AGREEMENT FOR SHERIFF’S OFFICE MIDDLEBURG SUBSTATION REPLACEMENT LIFT STATION - KENT BROTHERS","KENT BROTHERS","Sheriff/Jail",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","MISSING","MISSING","MISSING",,,,"2024/2025-254","https://dmcc.clayclerk.com/Documents/Download/16751","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Agreement/Contract","2026-01-12","2025/2026-0070","AGREEMENT FOR CHILLER REPLACEMENT AT THE CLAY COUNTY EMERGENCY OPERATIONS CENTER - CARRIER","CARRIER","Public Safety",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","N/A","MISSING","MISSING","MISSING",,,,,"https://dmcc.clayclerk.com/Documents/Download/16750","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Agreement/Contract","2026-01-12","2025/2026-0072","Northeast Florida Regional Council ReGrant Agreement",,"Grants/Interlocal Agreements",,"CLERK INDEX METADATA ONLY",,"N/A","N/A","FOUND","N/A","N/A","N/A","N/A",,,,,"https://dmcc.clayclerk.com/Documents/Download/16753","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Renewals/Extensions/Amendments","2026-01-13","2021/2022-138 AM2","SECOND AMENDMENT TO MOBILITY FEE CREDIT AGREEMENT - FCC (PCI) PETERS CREEK",,"Land/Leases/Real Estate",,"CLERK INDEX METADATA ONLY",,"N/A","N/A","NEEDS VERIFICATION","FOUND","N/A","N/A","N/A",,,,"2021/2022-138","https://dmcc.clayclerk.com/Documents/Download/16787","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Renewals/Extensions/Amendments","2026-01-13","2021/2022-139 AM2","SECOND AMENDMENT TO MOBILITY FEE CREDIT AGREEMENT - CATHEDRAL OAKS",,"Land/Leases/Real Estate",,"CLERK INDEX METADATA ONLY",,"N/A","N/A","NEEDS VERIFICATION","FOUND","N/A","N/A","N/A",,,,"2021/2022-139","https://dmcc.clayclerk.com/Documents/Download/16786","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Agreement/Contract","2026-01-13","2025/2026-0073","AGREEMENT FOR OMEGA PARK CCUA CONNECTION ADVANTAGE CONTRACTING GROUP",,"Utilities",,"CLERK INDEX METADATA ONLY",,"N/A","N/A","FOUND","N/A","N/A","N/A","N/A",,,,,"https://dmcc.clayclerk.com/Documents/Download/16752","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Agreement/Contract","2026-01-13","2025/2026-0076","ASPCA - CLAY COUNTY ANIMAL CARE AND CONTROL","CLAY COUNTY ANIMAL CARE AND CONTROL","Community/Nonprofit Agreements",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","N/A","MISSING","MISSING","MISSING",,,,,"https://dmcc.clayclerk.com/Documents/Download/16757","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Agreement/Contract","2026-01-13","2025/2026-0078","AGREEMENT FOR CONSERVATION AND LAND MANAGEMENT SERVICES - CONSERVATION LAND MANAGEMENT SERVICES",,"Environmental/Mosquito",,"CLERK INDEX METADATA ONLY",,"N/A","N/A","FOUND","N/A","N/A","N/A","N/A",,,,,"https://dmcc.clayclerk.com/Documents/Download/16788","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Agreement/Contract","2026-01-13","2025/2026-0080","NAMING RIGHTS SPONSORSHIP AGREEMENT HCA FLORIDA ORANGE PARK HOSPITAL",,"Parks/Recreation",,"CLERK INDEX METADATA ONLY",,"N/A","N/A","FOUND","N/A","N/A","N/A","N/A",,,,,"https://dmcc.clayclerk.com/Documents/Download/16773","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Agreement/Contract","2026-01-13","2025/2026-0082","GRANT AGREEMENT DFS HAZMAT SUSTAINMENT - FL DEPT OF FL SRVS",,"Fire/EMS",,"CLERK INDEX METADATA ONLY",,"N/A","N/A","FOUND","N/A","N/A","N/A","N/A",,,,,"https://dmcc.clayclerk.com/Documents/Download/17591","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Agreement/Contract","2026-01-14","2025/2026-0074","LEASE AGREEMENT - SUPERVISOR OF ELECTIONS - VOTINGLOCATION",,"Land/Leases/Real Estate",,"CLERK INDEX METADATA ONLY",,"N/A","N/A","FOUND","N/A","N/A","N/A","N/A",,,,,"https://dmcc.clayclerk.com/Documents/Download/16756","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Agreement/Contract","2026-01-14","2025/2026-0077","U.S. DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT - US HUD CDBG GRANT AGREEMENT",,"Grants/Interlocal Agreements",,"CLERK INDEX METADATA ONLY",,"N/A","N/A","FOUND","N/A","N/A","N/A","N/A",,,,,"https://dmcc.clayclerk.com/Documents/Download/16785","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Renewals/Extensions/Amendments","2026-01-16","2018/2019-141 EXT4","FOURTH EXTENSION TO LEASE AGREEMENT - EAGLE HARBOR PARK - CROSSINS AT FLEMING ISLAND CDD LEASE AGREEMENT","CROSSINS AT FLEMING ISLAND CDD LEASE AGREEMENT","Parks/Recreation",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","MISSING","MISSING","MISSING",,,,"2018/2019-141","https://dmcc.clayclerk.com/Documents/Download/16762","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Agreement/Contract","2026-01-16","2025/2026-0083","AGREEMENT FOR CONSTRUCTION OF RADAR ROAD - DB CIVI LCONSTRUCTION","DB CIVI LCONSTRUCTION","Roads/Transportation",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","N/A","MISSING","MISSING","MISSING",,,,,"https://dmcc.clayclerk.com/Documents/Download/16754","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Agreement/Contract","2026-01-22","2025/2026-0085","AGREEMENT FOR THE PURCHASE AND INSTALLATION OF FURNITURE AT THE CLAY COUNTY BUILDING/ECONOMIC DEVELOPMENT SERVICES FACILITY - PERDUE INC.","PERDUE INC.","Construction/Repairs/Facilities",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","N/A","MISSING","MISSING","MISSING",,,,,"https://dmcc.clayclerk.com/Documents/Download/16763","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Renewals/Extensions/Amendments","2026-01-27","2022/2023-279 RN2","SECOND RENEWAL OF FRANCHISE AGREEMENT FOR CONTAINER SERVICE - GRAMBOS ROLL OFF AND WASTE, LLC","GRAMBOS ROLL OFF AND WASTE, LLC","Solid Waste/Franchises",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","MISSING","MISSING","MISSING",,,,"2022/2023-279","https://dmcc.clayclerk.com/Documents/Download/16797","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Agreement/Contract","2026-01-27","2022/2023-280 AN2","SECOND RENEWAL OF FRANCHISE AGREEMENT FOR CONTAINER SERVICE - CW DUMPSTERS, LLC","CW DUMPSTERS, LLC","Solid Waste/Franchises",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","N/A","MISSING","MISSING","MISSING",,,,,"https://dmcc.clayclerk.com/Documents/Download/16813","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Renewals/Extensions/Amendments","2026-01-27","2022/2023-284 RN2","SECOND RENEWAL OF FRANCHISE AGREEMENT FOR CONTAINER SERVICE - CHUBECK ENTERPRISES INC DBA DUMPSTER DUDEZ","CHUBECK ENTERPRISES INC DBA DUMPSTER DUDEZ","Solid Waste/Franchises",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","MISSING","MISSING","MISSING",,,,"2022/2023-284","https://dmcc.clayclerk.com/Documents/Download/16795","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Agreement/Contract","2026-01-27","2025/2026-0087","FRANCHISE AGREEMENT FOR CONTAINER SERVICE - DOUBLE D'S DUMPSTERS","DOUBLE D'S DUMPSTERS","Solid Waste/Franchises",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","N/A","MISSING","MISSING","MISSING",,,,,"https://dmcc.clayclerk.com/Documents/Download/16794","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Agreement/Contract","2026-01-27","2025/2026-0088","AGREEMENT FOR PHASE 1 PRECONSTRUCTION - CONSTRUCTION MANAGER AT RISK (CMAR) SERVICES FOR THE SUBSTANCE USE DISORDER RECOVERY CENTER - E VAUGHN RIVERS","E VAUGHN RIVERS","Health/Human Services",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","N/A","MISSING","MISSING","MISSING",,,,,"https://dmcc.clayclerk.com/Documents/Download/16796","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Renewals/Extensions/Amendments","2026-01-30","2024/2025-30 AM2","SECOND AMENDMENT TO AGREEMENT FOR CR 220 WIDENING – PHASE 1 - KIRBY","KIRBY","Roads/Transportation",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","MISSING","MISSING","MISSING",,,,"2024/2025-30","https://dmcc.clayclerk.com/Documents/Download/16810","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Agreement/Contract","2026-01-30","2025/2026-79","FLORIDA DEPARTMENT OF ELDER AFFAIRS - ORANGE PARK SENIOR CENTER","ORANGE PARK SENIOR CENTER","Health/Human Services",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","N/A","MISSING","MISSING","MISSING",,,,,"https://dmcc.clayclerk.com/Documents/Download/18829","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Agreement/Contract","2026-01-30","2025/2026-89","FEDERALLY FUNDED SUBAWARD AND GRANT AGREEMENT - EMPG",,"Grants/Interlocal Agreements",,"CLERK INDEX METADATA ONLY",,"N/A","N/A","FOUND","N/A","N/A","N/A","N/A",,,,,"https://dmcc.clayclerk.com/Documents/Download/18828","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Renewals/Extensions/Amendments","2026-02-04","2021/2022-98 RN2","SECOND RENEWAL AND AMENDMENT TO AGREEMENT FOR PROFESSIONAL ARCHITECTURAL SERVICES FOR PUBLIC SAFETY FACILITIES - DASHER HURST ARCHITECTURAL SERVICES",,"Public Safety",,"CLERK INDEX METADATA ONLY",,"N/A","N/A","NEEDS VERIFICATION","FOUND","N/A","N/A","N/A",,,,"2021/2022-98","https://dmcc.clayclerk.com/Documents/Download/16800","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Renewals/Extensions/Amendments","2026-02-04","2022/2023-86 RN4","MONDAY.COM SALES ORDER",,"Software/SaaS/Subscriptions/IT",,"CLERK INDEX METADATA ONLY",,"N/A","N/A","NEEDS VERIFICATION","FOUND","N/A","N/A","N/A",,,,"2022/2023-86","https://dmcc.clayclerk.com/Documents/Download/16799","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Renewals/Extensions/Amendments","2026-02-04","2024/2025-124 RN1","FIRST RENEWAL TO AGREEMENT FOR ANNUAL TREE REMOVAL AND RELATED SERVICES - AMERICAN TREE SURGEONS - TREE REMOVAL","TREE REMOVAL","Environmental/Mosquito",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","MISSING","MISSING","MISSING",,,,"2024/2025-124","https://dmcc.clayclerk.com/Documents/Download/16798","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Renewals/Extensions/Amendments","2026-02-05","2020/2021-97 AM5 RN3","FIFTH AMENDMENT AND THIRD RENEWAL TO AGREEMENT FOR PREVENTATIVE GENERATOR MAINTENANCE - TAW POWER SYSTEMS","TAW POWER SYSTEMS","Fire/EMS",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","MISSING","MISSING","MISSING",,,,"2020/2021-97","https://dmcc.clayclerk.com/Documents/Download/16820","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Renewals/Extensions/Amendments","2026-02-05","2023/2024-165 AM3","THIRD AMENDMENT TO PHASE 2 CONSTRUCTION MANAGEMENT AT RISK (CMAR) CONSTRUCTION AGREEMENT FOR PUBLIC SAFETY FACILITIES – CLAY COUNTY FIRE STATION 20 - AJAX","AJAX","Fire/EMS",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","MISSING","MISSING","MISSING",,,,"2023/2024-165","https://dmcc.clayclerk.com/Documents/Download/16808","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Renewals/Extensions/Amendments","2026-02-05","2023/2024-256 AM2","SECOND AMENDMENT TO PHASE 2 CONSTRUCTION MANAGEMENT AT RISK (CMAR) CONSTRUCTION AGREEMENT FOR THE CLAY COUNTY BUILDING/ECONOMIC DEVELOPMENT SERVICES FACILITY - SCORPIO","SCORPIO","Construction/Repairs/Facilities",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","MISSING","MISSING","MISSING",,,,"2023/2024-256","https://dmcc.clayclerk.com/Documents/Download/16806","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Renewals/Extensions/Amendments","2026-02-05","2024/2025-207 AM1","FIRST AMENDMENT TO COMPREHENSIVE AGREEMENT BETWEEN CLAY COUNTY, FLORIDA AND AND FORTRESS SECURED, LLC - FOR THE DELIVERY OF TWO FIRE STATION FACILITIES - FORTRESS COMPREHENSIVE AGREEMENT","FORTRESS COMPREHENSIVE AGREEMENT","Fire/EMS",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","MISSING","MISSING","MISSING",,,,"2024/2025-207","https://dmcc.clayclerk.com/Documents/Download/16801","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Agreement/Contract","2026-02-05","2025/2026-0086","CIVITEK NATIONAL DBA KESTREL GOVERNMENT SOULTIONS","CiviTek / Kestrel Government Solutions","Software/SaaS/Subscriptions/IT",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","N/A","MISSING","MISSING","MISSING",,,,,"https://dmcc.clayclerk.com/Documents/Download/16803","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Agreement/Contract","2026-02-05","2025/2026-0090","AGREEMENT FOR UNIFORM RENTAL AND CLEANING SERVICES - cintas","cintas","Equipment/Fleet",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","N/A","MISSING","MISSING","MISSING",,,,,"https://dmcc.clayclerk.com/Documents/Download/16802","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Agreement/Contract","2026-02-05","2025/2026-0091","MOU COMMUNITY PARAMEDICINE PROGRAM - DEPARTMENT OF HEALTH",,"Fire/EMS",,"CLERK INDEX METADATA ONLY",,"N/A","N/A","FOUND","N/A","N/A","N/A","N/A",,,,,"https://dmcc.clayclerk.com/Documents/Download/16804","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Agreement/Contract","2026-02-05","2025/2026-0092","MOU DEPARTMENT OF HEALTH - BLOOD STORAGE",,"Health/Human Services",,"CLERK INDEX METADATA ONLY",,"N/A","N/A","FOUND","N/A","N/A","N/A","N/A",,,,,"https://dmcc.clayclerk.com/Documents/Download/16805","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Agreement/Contract","2026-02-07","2025/2026-0075","K9S FOR WARRIORS EVENT AGREEMENT - CLAY COUNTY ANIMAL SERVICES",,"Parks/Recreation",,"CLERK INDEX METADATA ONLY",,"N/A","N/A","FOUND","N/A","N/A","N/A","N/A",,,,,"https://dmcc.clayclerk.com/Documents/Download/16784","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Renewals/Extensions/Amendments","2026-02-10","2023/2024-119 AM1","FIRST AMENDMENT TO AGREEMENT FOR TRAFFIC COUNTS, CAPACITY TABLE AND MOBILITY FEE STUDIES - GFT INFRASTRUCTURE","GFT INFRASTRUCTURE","Roads/Transportation",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","MISSING","MISSING","MISSING",,,,"2023/2024-119","https://dmcc.clayclerk.com/Documents/Download/16811","Clerk index metadata verified; document terms and payment chain require document-level review."
